id,company_id,name,address,lng,lat,is_active,under_maintenance,opening_hours_osm
74189b0e-ac0d-5cd1-9aed-00f333c23884,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Tunis Central Station,"Avenue Habib Bourguiba, Tunis",10.0565,36.6815,FALSE,TRUE,24/7
64837421-9636-5b74-9266-1ed59334665b,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Sousse Station,"Boulevard Haffouz, Sousse",10.5169,35.7004,TRUE,FALSE,Mo-Fr 08:00-20:00; Sa 09:00-13:00
00f52290-cef1-598c-ac42-352ed9199d9e,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Sfax Station,"Rue de la Republique, Sfax",10.6453,34.6156,TRUE,FALSE,Mo-Sa 07:00-22:00
99f8be15-9c7a-5364-b317-9cebfbb28557,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Bizerte Station,"Avenue Habib Bouguiba, Bizerte",9.7638,37.1494,TRUE,FALSE,Mo-Fr 06:00-22:00; Sa-Su 08:00-20:00
7a78755c-e337-5a85-95ba-9da3b257a446,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Gabes Station,"Rue de Tripoli, Gabes",9.9922,33.7565,TRUE,FALSE,
0b78c0cb-408c-5362-af3b-ef606ad9dcce,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Ariana Station,"Rue Ibn Khaldoun, Ariana",10.0904,36.7375,TRUE,FALSE,24/7
91832eb3-3f7e-55ec-a4a5-7d165e2a836d,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Gafsa Station,"Avenue de la Republique, Gafsa",8.6892,34.3000,TRUE,FALSE,Mo-Fr 08:00-20:00; Sa 09:00-13:00
796d72f7-04d8-5581-ba1b-edd3fd69d4ac,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Monastir Station,"Boulevard de l'Environnement, Monastir",10.7361,35.6393,FALSE,FALSE,Mo-Sa 07:00-22:00
3654510e-4176-51b3-8012-75cc883ffb07,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Ben Arous Station,"Rue des Freres Bouadla, Ben Arous",10.1380,36.6283,TRUE,FALSE,Mo-Fr 06:00-22:00; Sa-Su 08:00-20:00
a8939f1d-c00a-5c09-a27c-e23ab18f4eb9,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Kairouan Station,"Avenue Ibn Sina, Kairouan",10.0163,35.5531,TRUE,FALSE,
d6813aaa-55c0-583a-a73d-ebab06f09056,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Nabeul Station,"Rue du 2 Mars, Nabeul",10.6616,36.3311,TRUE,FALSE,24/7
530d41e2-25fd-5781-8662-4b120eb4ea1e,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Mahdia Station,"Bordj El Kebir, Mahdia",10.9922,35.3797,TRUE,TRUE,Mo-Fr 08:00-20:00; Sa 09:00-13:00
2f201a8a-b5da-539d-977c-91e6961746aa,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Medenine Station,"Avenue de la Liberte, Medenine",10.4403,33.2290,TRUE,FALSE,Mo-Sa 07:00-22:00
e9bc0e0e-3821-5e18-9bb5-d2e613e01436,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Kasserine Station,"Rue de l'Independance, Kasserine",8.7737,35.0471,TRUE,FALSE,Mo-Fr 06:00-22:00; Sa-Su 08:00-20:00
4504f895-6c30-5633-8fd6-81fa69d9e65b,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Jendouba Station,"Avenue Farhat Hached, Jendouba",8.7252,36.3763,FALSE,FALSE,
46cd592f-ad28-58d2-9a1d-5fd6dd998692,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Tunis Central Station Borne 16,"Avenue Habib Bourguiba, Tunis, Unit 16",10.1315,36.6815,TRUE,FALSE,24/7
8bb87752-0e4f-5dd3-92cb-a9107725bb9b,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Sousse Station Borne 17,"Boulevard Haffouz, Sousse, Unit 17",10.5919,35.7004,TRUE,FALSE,Mo-Fr 08:00-20:00; Sa 09:00-13:00
dbe8120a-b85a-5c8f-86e4-17e8d5a4319d,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Sfax Station Borne 18,"Rue de la Republique, Sfax, Unit 18",10.7203,34.6156,TRUE,FALSE,Mo-Sa 07:00-22:00
65d1af3b-9199-5542-949d-5eab5d8a5765,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Bizerte Station Borne 19,"Avenue Habib Bouguiba, Bizerte, Unit 19",9.8388,37.1494,TRUE,FALSE,Mo-Fr 06:00-22:00; Sa-Su 08:00-20:00
876ebf8d-fa38-5001-a40b-8e3afabeaf6a,064c1d59-d3f8-5ad1-af24-e0dd5fd275f0,Gabes Station Borne 20,"Rue de Tripoli, Gabes, Unit 20",10.0672,33.7565,TRUE,FALSE,
